name,store_name,street,city,province,postal_cod,country,source,lon,lat,audit_corrected,geometry
FreshCo,FreshCo Regent & Lagimodiere,1615 Regent Avenue West,Winnipeg,Manitoba,R2C5C6,Canada,https://www.freshco.com/store-locator,-97.0697177,49.9010799,n,POINT (-97.0697177 49.9010799)
FreshCo,FreshCo Sargent,600 Sargent Avenue,Winnipeg,Manitoba,R3E0A1,Canada,https://www.freshco.com/store-locator,-97.15915119,49.89580155,n,POINT (-97.15915119 49.89580155)
Giant Tiger,Giant Tiger,345 Donald Street,Winnipeg,Manitoba,R3B 2J1,Canada,giant tiger website,-97.1996091,49.8932039,n,POINT (-97.1996091 49.8932039)
Giant Tiger,Giant Tiger,1450 Ellice Avenue,Winnipeg,Manitoba,R3G 0G4,Canada,giant tiger website,-97.15926198,49.9451652,n,POINT (-97.15926198 49.9451652)
Giant Tiger,Giant Tiger,507 London Street,Winnipeg,Manitoba,R2K 2Z4,Canada,giant tiger website,-97.0669312,49.8540995,n,POINT (-97.0669312 49.8540995)
Giant Tiger,Giant Tiger,940 Jefferson Avenue,Winnipeg,Manitoba,R2P 1W1,Canada,giant tiger website,-97.0298152,49.8939378,n,POINT (-97.0298152 49.8939378)
Giant Tiger,Giant Tiger,225 Vermillion Road,Winnipeg,Manitoba,R2J 3Z7,Canada,giant tiger website,-97.15424211,49.81144235,n,POINT (-97.15424211 49.81144235)
Giant Tiger,Giant Tiger,838 Regent Avenue West,Winnipeg,Manitoba,R2C 3A8,Canada,giant tiger website,-97.2962396,49.8809649,n,POINT (-97.2962396 49.8809649)
Giant Tiger,Giant Tiger,2195 Pembina Highway,Winnipeg,Manitoba,R3T 5S9,Canada,giant tiger website,-97.14387817,49.89562835,y,POINT (-97.14387817 49.89562835)
Giant Tiger,Giant Tiger,3332 Portage Avenue,Winnipeg,Manitoba,R3K 0Z1,Canada,giant tiger website,-97.08039889,49.9110666,y,POINT (-97.08039889 49.9110666)
Red-River Co-op,Grant Park,1120 Grant Avenue,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.1657136,49.8575422,n,POINT (-97.1657136 49.8575422)
No Frills,HELLARD'S NOFRILLS WINNIPEG,1445 Main Street,Winnipeg,Manitoba,R2W 3V8,Canada,https://www.nofrills.ca/en/store-locator,-97.12303457,49.9265462,n,POINT (-97.12303457 49.9265462)
IGA,IGA Main St,1650 Main Street,Winnipeg,Manitoba,R2V 1Y9,Canada,https://west.iga.ca/store-locator/,-97.12219032,49.9335934,n,POINT (-97.12219032 49.9335934)
IGA,IGA Windsor Park,650 Elizabeth Road,Winnipeg,Manitoba,R2J 1A4,Canada,https://west.iga.ca/store-locator/,-97.08969097,49.87043142,y,POINT (-97.08969097 49.87043142)
No Frills,JERAMIE'S NOFRILLS WINNIPEG,740 St. Anne's Road,Winnipeg,Manitoba,R2N 0A2,Canada,https://www.nofrills.ca/en/store-locator,-97.08453059,49.82197215,n,POINT (-97.08453059 49.82197215)
Save-on-foods,Kildonan,1555 Regent Avenue West,Winnipeg,Manitoba,R2C 4J2,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.06115986,49.8984703,n,POINT (-97.06115986 49.8984703)
Lucky Supermarket,Lucky Supermarket,1303 Jefferson Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1690458,49.9539915,n,POINT (-97.1690458 49.9539915)
Lucky Supermarket,Lucky Supermarket,1051 Winnipeg Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1731403,49.9071188,n,POINT (-97.1731403 49.9071188)
No Frills,LUIS & EMMA'S NOFRILLS WINNIPEG STAFFORD,677 Stafford Street,Winnipeg,Manitoba,R3M 2X7,Canada,https://www.nofrills.ca/en/store-locator,-97.153291,49.8568387,n,POINT (-97.153291 49.8568387)
MADINA SUPERMARKET AND HALAL MEAT,MADINA SUPERMARKET AND HALAL MEAT,166 Meadowood Drive,Winnipeg,Manitoba,R2M 2S6,Canada,google maps,-97.10910646,49.8261576,n,POINT (-97.10910646 49.8261576)
No Frills,MIKE'S NOFRILLS WINNIPEG PLESSIS,1500 Plessis Road,Winnipeg,Manitoba,R2C 5R5,Canada,https://www.nofrills.ca/en/store-locator,-97.02775917,49.90005635,n,POINT (-97.02775917 49.90005635)
Wal-mart,"N. Winnipeg, Garden City",2370 McPhillips Street,Winnipeg,Manitoba,R2V 4J6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N3,-97.15004597,49.9576129,n,POINT (-97.15004597 49.9576129)
Save-on-foods,Northgate,1399 McPhillips Street,Winnipeg,Manitoba,R2V 3C4,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.1546124,49.9411235,n,POINT (-97.1546124 49.9411235)
Save-on-foods,Pembina,1910 Pembina Highway,Winnipeg,Manitoba,R3T 4S5,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.1500276,49.8224768,n,POINT (-97.1500276 49.8224768)
Family Foods,Portage Avenue Family Foods,1881 Portage Avenue,Winnipeg,Manitoba,R3J 0H3,Canada,https://familyfoods.ca/store-locator/manitoba/,-97.2193455,49.8795701,n,POINT (-97.2193455 49.8795701)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE BISON DRIVE,80 Bison Drive,Winnipeg,Manitoba,R3T 4Z7,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.1637019,49.7999021,n,POINT (-97.1637019 49.7999021)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE GATEWAY ROAD,1035 Gateway Road,Winnipeg,Manitoba,R2K 4C1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.06970155,49.9281076,n,POINT (-97.06970155 49.9281076)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE KENASTON BLVD,550 Kenaston Boulevard,Winnipeg,Manitoba,R3N 2A1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.20379109,49.8564563,n,POINT (-97.20379109 49.8564563)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE MCPHILLIPS STREET,2132 Mcphillips Street,Winnipeg,Manitoba,R2V 3C8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.15587742,49.9494166,n,POINT (-97.15587742 49.9494166)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE PORTAGE AVENUE,3193 Portage Avenue,Winnipeg,Manitoba,R3K 0W4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.28835863,49.8827339,n,POINT (-97.28835863 49.8827339)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE REGENT AVENUE,1578 Regent Avenue West,Winnipeg,Manitoba,R2C 3B4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.06640917,49.8942628,n,POINT (-97.06640917 49.8942628)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE SARGENT AVENUE,1385 Sargent Avenue,Winnipeg,Manitoba,R3E 3P8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.19890211,49.9000278,n,POINT (-97.19890211 49.9000278)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE ST ANNE'S ROAD,215 St Anne's Road,Winnipeg,Manitoba,R2M 2Z9,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.10292132,49.8577786,n,POINT (-97.10292132 49.8577786)
Wal-mart,"S. Winnipeg, St.vital Ctr",1225 St Mary's Road,Winnipeg,Manitoba,R2M 5E6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N4,-97.1105284,49.8291119,n,POINT (-97.1105284 49.8291119)
Safeway,Safeway Charleswood Centre,3900 Grant Avenue,Winnipeg,Manitoba,R3R3C2,Canada,https://www.safeway.ca/store-locator,-97.2634719,49.8580669,n,POINT (-97.2634719 49.8580669)
Safeway,Safeway Crestview,3393 Portage Avenue,Winnipeg,Manitoba,R3K2G7,Canada,https://www.safeway.ca/store-locator,-97.2992578,49.8832098,n,POINT (-97.2992578 49.8832098)
Safeway,Safeway Lindenridge,1625 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M4,Canada,https://www.safeway.ca/store-locator,-97.20146626,49.82584245,n,POINT (-97.20146626 49.82584245)
Safeway,Safeway Madison Square,1612 Ness Avenue,Winnipeg,Manitoba,R3J0H7,Canada,https://www.safeway.ca/store-locator,-97.20492605,49.88201075,n,POINT (-97.20492605 49.88201075)
Safeway,Safeway Marion and Braemar,285 Marion Street,Winnipeg,Manitoba,R2H0T8,Canada,https://www.safeway.ca/store-locator,-97.11471782,49.8820952,n,POINT (-97.11471782 49.8820952)
Safeway,Safeway Mountain and McGregor,594 Mountain Avenue,Winnipeg,Manitoba,R2W1L2,Canada,https://www.safeway.ca/store-locator,-97.1448148,49.92415185,n,POINT (-97.1448148 49.92415185)
Safeway,Safeway Osborne and Kylemore,655 Osborne Avenue,Winnipeg,Manitoba,R3L2B7,Canada,https://www.safeway.ca/store-locator,-97.13363672,49.86297595,y,POINT (-97.13363672 49.86297595)
Safeway,Safeway Pembina Village,2155 Pembina Highway,Winnipeg,Manitoba,R3T5S9,Canada,https://www.safeway.ca/store-locator,-97.15487727,49.8120399,n,POINT (-97.15487727 49.8120399)
Safeway,Safeway River Avenue,499 River Avenue,Winnipeg,Manitoba,R3L0C9,Canada,https://www.safeway.ca/store-locator,-97.1484939,49.8794753,n,POINT (-97.1484939 49.8794753)
Safeway,Safeway River East Plaza,1441 Henderson Highway,Winnipeg,Manitoba,R2G1N4,Canada,https://www.safeway.ca/store-locator,-97.0826563,49.9462032,n,POINT (-97.0826563 49.9462032)
Safeway,Safeway Transcona,654 Kildare Avenue East,Winnipeg,Manitoba,R2C0P8,Canada,https://www.safeway.ca/store-locator,-96.9856272,49.9002583,n,POINT (-96.9856272 49.9002583)
Safeway,Safeway Tuxedo,2025 Corydon Avenue,Winnipeg,Manitoba,R3P0N5,Canada,https://www.safeway.ca/store-locator,-97.21183601,49.86728305,n,POINT (-97.21183601 49.86728305)
Safeway,Safeway Tyndall Square,850 Keewatin Street,Winnipeg,Manitoba,R2R0Z5,Canada,https://www.safeway.ca/store-locator,-97.19701146,49.9378612,n,POINT (-97.19701146 49.9378612)
Red-River Co-op,Seasons,755 Sterling Lyon Parkway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.22144395,49.84365095,n,POINT (-97.22144395 49.84365095)
Sobeys,Sobeys Grant Park,1150 Taylor Avenue,Winnipeg,Manitoba,R3M3Z4,Canada,https://www.sobeys.com/store-locator,-97.16505025,49.8523019,n,POINT (-97.16505025 49.8523019)
Sobeys,Sobeys Kenaston,1660 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M6,Canada,https://www.sobeys.com/store-locator,-97.2037793,49.8213805,n,POINT (-97.2037793 49.8213805)
Sobeys,Sobeys Kildonan,50 Kildonan Green Drive,Winnipeg,Manitoba,R3W0H1,Canada,https://www.sobeys.com/store-locator,-97.0271773,49.910491,n,POINT (-97.0271773 49.910491)
Sobeys,Sobeys Northdale,965 Henderson Highway,Winnipeg,Manitoba,R2K2M3,Canada,https://www.sobeys.com/store-locator,-97.09445237,49.9336795,n,POINT (-97.09445237 49.9336795)
Sobeys,Sobeys Pembina,2850 Pembina Highway,Winnipeg,Manitoba,R3T6E4,Canada,https://www.sobeys.com/store-locator,-97.15500344,49.78950395,n,POINT (-97.15500344 49.78950395)
Sobeys,Sobeys Reenders,7 Reenders Drive,Winnipeg,Manitoba,R2C5K5,Canada,https://www.sobeys.com/store-locator,-97.06749239,49.9041611,n,POINT (-97.06749239 49.9041611)
Sobeys,Sobeys Rivergrove,2575 Main Street,Winnipeg,Manitoba,R2V4W3,Canada,https://www.sobeys.com/store-locator,-97.08885337,49.9579663,n,POINT (-97.08885337 49.9579663)
Sobeys,Sobeys Sage Creek,50 Sage Creek Boulevard,Winnipeg,Manitoba,R3X0J6,Canada,https://www.sobeys.com/store-locator,-97.0459387,49.8325034,n,POINT (-97.0459387 49.8325034)
Sobeys,Sobeys St. Vital,1500 Dakota Street,Winnipeg,Manitoba,R2N3Y7,Canada,https://www.sobeys.com/store-locator,-97.09550036,49.810642,n,POINT (-97.09550036 49.810642)
Sobeys,Sobeys Unicity,3635 Portage Avenue,Winnipeg,Manitoba,R3K2G6,Canada,https://www.sobeys.com/store-locator,-97.3111672,49.885793,n,POINT (-97.3111672 49.885793)
Red-River Co-op,Southdale,77 Vermillion Road,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.07339294,49.85452835,n,POINT (-97.07339294 49.85452835)
Save-on-foods,St James,850 ST James Street,Winnipeg,Manitoba,R3G 3L7,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.2024535,49.88945591,y,POINT (-97.2024535 49.88945591)
Red-River Co-op,St Norbert,3477 Pembina Highway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.1559566,49.7670012,n,POINT (-97.1559566 49.7670012)
Red-River Co-op,St Vital,850 Dakota Street,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.10639591,49.82821835,n,POINT (-97.10639591 49.82821835)
Sobeys,St. Annes Sobeys,1939 Abinojii Mikanah,Winnipeg,Manitoba,R2M5S1,Canada,https://www.sobeys.com/store-locator,-97.0947985,49.838668,n,POINT (-97.0947985 49.838668)
Wal-mart,Sw Winnipeg Manitoba,1665 Kenaston Boulevard,Winnipeg,Manitoba,R3P 2M4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N5,-97.1989243,49.8237291,n,POINT (-97.1989243 49.8237291)
No Frills,TOM'S NOFRILLS WINNIPEG,6650 Roblin Boulevard,Winnipeg,Manitoba,R3R 2P9,Canada,https://www.nofrills.ca/en/store-locator,-97.3156732,49.8622821,n,POINT (-97.3156732 49.8622821)
No Frills,TREVOR & HAYLEY'S NOFRILLS WINNIPEG,1795 Henderson Highway,Winnipeg,Manitoba,R2G 1P3,Canada,https://www.nofrills.ca/en/store-locator,-97.07564898,49.95290225,n,POINT (-97.07564898 49.95290225)
Wal-mart,"W. Winnipeg, Manitoba",3655 Portage Avenue,Winnipeg,Manitoba,R3K 2G6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N6,-97.31312608,49.88589295,n,POINT (-97.31312608 49.88589295)
Wal-mart,Winnipeg (grant Park),1000 Taylor Avenue,Winnipeg,Manitoba,R3M 1T6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N0,-97.1587049,49.8531207,n,POINT (-97.1587049 49.8531207)
Wal-mart,Winnipeg (se),35 Lakewood Boulevard,Winnipeg,Manitoba,R2J 2M8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N2,-97.07622455,49.8544883,n,POINT (-97.07622455 49.8544883)
Young's Market,Young's Market,1000 McPhillips Street,Winnipeg,Manitoba,,Canada,google maps,-97.16769034,49.93104845,n,POINT (-97.16769034 49.93104845)
Young's Trading,Young's Trading,397 William Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1454685,49.9011595,n,POINT (-97.1454685 49.9011595)
