name,store_name,street,city,province,postal_cod,country,source,lon,lat,audit_corrected
Real Canadian Superstore,REAL CANADIAN SUPERSTORE KENASTON BLVD,550 Kenaston Boulevard,Winnipeg,Manitoba,R3N 2A1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.20379109,49.8564563,n
Real Canadian Superstore,REAL CANADIAN SUPERSTORE MCPHILLIPS STREET,2132 Mcphillips Street,Winnipeg,Manitoba,R2V 3C8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.15587742,49.9494166,n
Real Canadian Superstore,REAL CANADIAN SUPERSTORE PORTAGE AVENUE,3193 Portage Avenue,Winnipeg,Manitoba,R3K 0W4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.28835863,49.8827339,n
Real Canadian Superstore,REAL CANADIAN SUPERSTORE REGENT AVENUE,1578 Regent Avenue West,Winnipeg,Manitoba,R2C 3B4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.06640917,49.8942628,n
Real Canadian Superstore,REAL CANADIAN SUPERSTORE SARGENT AVENUE,1385 Sargent Avenue,Winnipeg,Manitoba,R3E 3P8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.19890211,49.9000278,n
Real Canadian Superstore,REAL CANADIAN SUPERSTORE ST ANNE'S ROAD,215 St Anne's Road,Winnipeg,Manitoba,R2M 2Z9,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.10292132,49.8577786,n
Wal-mart,"S. Winnipeg, St.vital Ctr",1225 St Mary's Road,Winnipeg,Manitoba,R2M 5E6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N4,-97.1105284,49.8291119,n
Safeway,Safeway Charleswood Centre,3900 Grant Avenue,Winnipeg,Manitoba,R3R3C2,Canada,https://www.safeway.ca/store-locator,-97.2634719,49.8580669,n
Safeway,Safeway Crestview,3393 Portage Avenue,Winnipeg,Manitoba,R3K2G7,Canada,https://www.safeway.ca/store-locator,-97.2992578,49.8832098,n
Safeway,Safeway Lindenridge,1625 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M4,Canada,https://www.safeway.ca/store-locator,-97.20146626,49.82584245,n
Safeway,Safeway Madison Square,1612 Ness Avenue,Winnipeg,Manitoba,R3J0H7,Canada,https://www.safeway.ca/store-locator,-97.20492605,49.88201075,n
Safeway,Safeway Marion and Braemar,285 Marion Street,Winnipeg,Manitoba,R2H0T8,Canada,https://www.safeway.ca/store-locator,-97.11471782,49.8820952,n
Safeway,Safeway Mountain and McGregor,594 Mountain Avenue,Winnipeg,Manitoba,R2W1L2,Canada,https://www.safeway.ca/store-locator,-97.1448148,49.92415185,n
Safeway,Safeway Osborne and Kylemore,655 Osborne Avenue,Winnipeg,Manitoba,R3L2B7,Canada,https://www.safeway.ca/store-locator,-97.13363672,49.86297595,y
Safeway,Safeway Pembina Village,2155 Pembina Highway,Winnipeg,Manitoba,R3T5S9,Canada,https://www.safeway.ca/store-locator,-97.15487727,49.8120399,n
Safeway,Safeway River Avenue,499 River Avenue,Winnipeg,Manitoba,R3L0C9,Canada,https://www.safeway.ca/store-locator,-97.1484939,49.8794753,n
Safeway,Safeway River East Plaza,1441 Henderson Highway,Winnipeg,Manitoba,R2G1N4,Canada,https://www.safeway.ca/store-locator,-97.0826563,49.9462032,n
Safeway,Safeway Transcona,654 Kildare Avenue East,Winnipeg,Manitoba,R2C0P8,Canada,https://www.safeway.ca/store-locator,-96.9856272,49.9002583,n
Safeway,Safeway Tuxedo,2025 Corydon Avenue,Winnipeg,Manitoba,R3P0N5,Canada,https://www.safeway.ca/store-locator,-97.21183601,49.86728305,n
Safeway,Safeway Tyndall Square,850 Keewatin Street,Winnipeg,Manitoba,R2R0Z5,Canada,https://www.safeway.ca/store-locator,-97.19701146,49.9378612,n
Red-River Co-op,Seasons,755 Sterling Lyon Parkway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.22144395,49.84365095,n
Sobeys,Sobeys Grant Park,1150 Taylor Avenue,Winnipeg,Manitoba,R3M3Z4,Canada,https://www.sobeys.com/store-locator,-97.16505025,49.8523019,n
Sobeys,Sobeys Kenaston,1660 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M6,Canada,https://www.sobeys.com/store-locator,-97.2037793,49.8213805,n
Sobeys,Sobeys Kildonan,50 Kildonan Green Drive,Winnipeg,Manitoba,R3W0H1,Canada,https://www.sobeys.com/store-locator,-97.0271773,49.910491,n
Sobeys,Sobeys Northdale,965 Henderson Highway,Winnipeg,Manitoba,R2K2M3,Canada,https://www.sobeys.com/store-locator,-97.09445237,49.9336795,n
Sobeys,Sobeys Pembina,2850 Pembina Highway,Winnipeg,Manitoba,R3T6E4,Canada,https://www.sobeys.com/store-locator,-97.15500344,49.78950395,n
Sobeys,Sobeys Reenders,7 Reenders Drive,Winnipeg,Manitoba,R2C5K5,Canada,https://www.sobeys.com/store-locator,-97.06749239,49.9041611,n
Sobeys,Sobeys Rivergrove,2575 Main Street,Winnipeg,Manitoba,R2V4W3,Canada,https://www.sobeys.com/store-locator,-97.08885337,49.9579663,n
Sobeys,Sobeys Sage Creek,50 Sage Creek Boulevard,Winnipeg,Manitoba,R3X0J6,Canada,https://www.sobeys.com/store-locator,-97.0459387,49.8325034,n
Sobeys,Sobeys St. Vital,1500 Dakota Street,Winnipeg,Manitoba,R2N3Y7,Canada,https://www.sobeys.com/store-locator,-97.09550036,49.810642,n
Sobeys,Sobeys Unicity,3635 Portage Avenue,Winnipeg,Manitoba,R3K2G6,Canada,https://www.sobeys.com/store-locator,-97.3111672,49.885793,n
Red-River Co-op,Southdale,77 Vermillion Road,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.07339294,49.85452835,n
Save-on-foods,St James,850 St. James Street,Winnipeg,Manitoba,R3G 3L7,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.2024535,49.88945591,y
Red-River Co-op,St Norbert,3477 Pembina Highway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.1559566,49.7670012,n
Red-River Co-op,St Vital,850 Dakota Street,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.10639591,49.82821835,n
Sobeys,St. Annes Sobeys,1939 Abinojii Mikanah,Winnipeg,Manitoba,R2M5S1,Canada,https://www.sobeys.com/store-locator,-97.0947985,49.838668,n
Wal-mart,Sw Winnipeg Manitoba,1665 Kenaston Boulevard,Winnipeg,Manitoba,R3P 2M4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N5,-97.1989243,49.8237291,n
No Frills,TOM'S NOFRILLS WINNIPEG,6650 Roblin Boulevard,Winnipeg,Manitoba,R3R 2P9,Canada,https://www.nofrills.ca/en/store-locator,-97.3156732,49.8622821,n
No Frills,TREVOR & HAYLEY'S NOFRILLS WINNIPEG,1795 Henderson Highway,Winnipeg,Manitoba,R2G 1P3,Canada,https://www.nofrills.ca/en/store-locator,-97.07564898,49.95290225,n
Wal-mart,"W. Winnipeg, Manitoba",3655 Portage Avenue,Winnipeg,Manitoba,R3K 2G6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N6,-97.31312608,49.88589295,n
Wal-mart,Winnipeg (grant Park),1000 Taylor Avenue,Winnipeg,Manitoba,R3M 1T6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N0,-97.1587049,49.8531207,n
Wal-mart,Winnipeg (se),35 Lakewood Boulevard,Winnipeg,Manitoba,R2J 2M8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N2,-97.07622455,49.8544883,n
Young's Market,Young's Market,1000 McPhillips Street,Winnipeg,Manitoba,,Canada,google maps,-97.16769034,49.93104845,n
Young's Trading,Young's Trading,397 William Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1454685,49.9011595,n
